Latitude,Longitude,Implication,Structure,Description,Catégorie,Département,Adresse,Ville,CP,Full Address,Implication 2019-2020,Implication 2017-2018,Site Web,Type de lieu,,Organisation structurelle
45.7722975,4.826681199999999,1,Acte Public Compagnie,"Production et diffusion des réalisations de deux artistes lyonnais – Yves Benitah et Patrice Pegeault. Thématiques telles que l’immigration, la transmission, la pédagogie, l’égalité, ou les discriminations. A participé à la construction des biennales Traces.",Artistes,Rhône,14 Place du Lieutenant Morel,Lyon,69001,14 Place du Lieutenant Morel Lyon 69001 ,,2018,https://actepublic.fr/,Théâtre,,Compagnie
45.1722154,5.724044,1,ADATE,"Partenaire de Traces, les missions d'ADATE sont d’accueillir, d’informer, d’orienter et d’accompagner socio-juridiquement et linguistiquement toute personne étrangère recourant à ses services. Est une des porteuses de la revue Ecarts d'Identité.",Solidarités,Isère,96 rue Stalingrad,Grenoble,38100,96 rue Stalingrad Grenoble 38100 ,,"2018, 2000",http://www.adate.org/,Accueil/ Insertion,,Association
45.56221310000001,5.9028502,1,ADDCAES,"Association Départementale pour le Développement et la Coordination des Actions auprès des Étrangers de la Savoie. Intégration des immigrés et de leurs familles, accès aux droits et à l’égalité des chances. Participe à la construction des biennales Traces.","Réseau, Solidarités",Savoie,259 place René Vair,Chambery,73031,259 place René Vair Chambery 73031 ,2020,2018,https://www.addcaes.org/,,,Reseau
45.7470623,4.8357091,1,Africa 50,"« Collectif d’associations pour la promotion des cultures d’Afrique, de la Caraïbe, de l’Océan Indien et amis en Auvergne Rhône-Alpes. » Africa 50 a participé à la Biennale TRACES 2018 en organisant une conférence sur Gabriel ROSSET.",Solidarités,Rhône,14 Avenue Berthelot,Lyon,69007,14 Avenue Berthelot Lyon 69007 ,2020,2018,https://africa50lyon.org/,,,Réseau/Collectif
46.2037863,5.221823199999999,1,Alfa3A - Service Médiation Intégration,"Accueillir, associer et accompagner celles et ceux qui vivent sur un territoire avec une attention toute particulière pour les plus fragiles, en lien avec les collectivités. Participe à la construction des biennales Traces.",Solidarités,Ain,7 rue de la Paix,Bourg en Bresse,01000,7 rue de la Paix Bourg en Bresse 01000 ,Construction Biennale,"2018, 2016",http://www.alfa3a.org/,Accompagnement/ Accueil et Logement,,
45.7734435,4.826791,1,AlterEgaux,Collectif d’artistes engagés qui organise des formations et événements culturels. Alter-Egaux a inscrit sa 5ème nuit sans frontière dans le programme de la Biennale TRACES 2018.,"Artistes, Education & Educ pop",Rhône,5 Impasse de Vauzelles,Lyon,69001,5 Impasse de Vauzelles Lyon 69001 ,Construction Biennale,2018,www.alteregaux.fr,Education populaire,,Association
45.76228450000001,4.8845711,1,Alwane,"Soutient des actions générées par des civils en Syrie, de lutte contre la déscolarisation des enfants de familles déplacées victimes de la guerre. Evénements de sensibilisation et d'échange autour de la situation syrienne. Soirée syrienne à la biennale 2020.","Solidarités, Equipements culturels",Rhône,30 avenue Auguste Blanqui,Villeurbanne,69100,30 avenue Auguste Blanqui Villeurbanne 69100 ,2020,2018,www.alwane.org,,,Association
45.1938645,5.7327524,1,Amal,Association culturelle de coopération franco-maghrébine qui a choisi de faire de la culture un instrument d’intégration contre le racisme de lutte contre les discriminations et de refus du repli identitaire. Participe à la biennale 2020.,"Artistes, Education & Educ pop",Isère,57 Avenue Maréchal Randon,Grenoble,38000,57 Avenue Maréchal Randon Grenoble 38000 ,2020,"2018, 2007",https://amal38.fr/,Culturelle,,Association
45.4343265,4.378291,1,Amicale Laïque Beaubrun ,Association d'éducation populaire et de loisirs et espace de vie sociale. Participe à la construction de la biennale 2020.,Education & Educ pop,Loire,11 Rue Apprentissage,Saint-Etienne,42000,11 Rue Apprentissage Saint-Etienne 42000 ,2020,,https://www.facebook.com/Amicale-La%C3%AFque-de-Beaubrun-105245517748342/,,,
45.8943453,3.1244012,1,AMTA,"Agence des Musiques des Territoires d’Auvergne. Collecte et valorise le patrimoine oral auvergnat. Actions interrogeant les traces anciennes ou récentes laissées par l’histoire, la fraternité entre les cultures et l’altérité. Participe à la construction de la biennale 2020.","Patrimoine & mémoire, Equipements culturels, Recherche",Auvergne,1 route d’Ennezat,Riom,63204,1 route d’Ennezat Riom 63204 ,2020,2018,https://lafeuilleamta.fr/,Musique,,Association
